Category,Label,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2,2018-Q1,2017-Q4,2017-Q3,2017-Q2,2017-Q1,2016-Q4,2016-Q3,2016-Q2,2016-Q1,2015-Q4,2015-Q3,2015-Q2,2015-Q1,2014-Q4,2014-Q3,2014-Q2,2014-Q1,2013-Q4,2013-Q3,2013-Q2,2013-Q1,2012-Q4,2012-Q3,2012-Q2,2012-Q1,2011-Q4,2011-Q3,2011-Q2,2011-Q1
1_Income_Statement,Income Tax Expense,930000000.0,816000000.0,1072000000.0,971000000.0,751000000.0,549000000.0,603000000.0,681000000.0,547000000.0,530000000.0,563000000.0,859000000.0,492000000.0,564000000.0,573000000.0,523000000.0,142000000.0,444000000.0,402000000.0,412000000.0,362000000.0,383000000.0,402000000.0,270000000.0,294000000.0,375000000.0,426000000.0,471000000.0,341000000.0,316000000.0,365000000.0,353000000.0,311000000.0,1257000000.0,502000000.0,451000000.0,397000000.0,378000000.0,449000000.0,382000000.0,378000000.0,135000000.0,375000000.0,320000000.0,320000000.0,206000000.0,403000000.0,442000000.0,411000000.0,288000000.0,375000000.0,385000000.0,336000000.0,289000000.0,294000000.0,273000000.0,318000000.0,0.0,0.0,0.0,0.0
1_Income_Statement,Pretax Income,4812000000.0,4876000000.0,4999000000.0,4672000000.0,4031000000.0,3891000000.0,3866000000.0,3939000000.0,3558000000.0,3321000000.0,3761000000.0,3704000000.0,2853000000.0,3089000000.0,3072000000.0,2798000000.0,2773000000.0,2823000000.0,2816000000.0,2478000000.0,2190000000.0,2168000000.0,1915000000.0,1690000000.0,1987000000.0,2475000000.0,2534000000.0,2519000000.0,2203000000.0,1215000000.0,2264000000.0,1922000000.0,1803000000.0,1484000000.0,1932000000.0,1628000000.0,1478000000.0,1311000000.0,1633000000.0,1365000000.0,1337000000.0,1025000000.0,1352000000.0,1241000000.0,1340000000.0,1007000000.0,1418000000.0,1373000000.0,1281000000.0,911000000.0,1254000000.0,1233000000.0,1102000000.0,894000000.0,1066000000.0,973000000.0,1000000000.0,19000000.0,717000000.0,608000000.0,562000000.0
1_Income_Statement,Net Income,3882000000.0,4060000000.0,3927000000.0,3701000000.0,3280000000.0,3342000000.0,3263000000.0,3258000000.0,3011000000.0,2791000000.0,3198000000.0,2845000000.0,2361000000.0,2525000000.0,2499000000.0,2275000000.0,2631000000.0,2379000000.0,2414000000.0,2066000000.0,1828000000.0,1785000000.0,1513000000.0,1420000000.0,1693000000.0,2100000000.0,2108000000.0,2048000000.0,1862000000.0,899000000.0,1899000000.0,1569000000.0,1492000000.0,227000000.0,1430000000.0,1177000000.0,1081000000.0,933000000.0,1184000000.0,983000000.0,959000000.0,890000000.0,977000000.0,921000000.0,1020000000.0,801000000.0,1015000000.0,931000000.0,870000000.0,623000000.0,879000000.0,848000000.0,766000000.0,605000000.0,772000000.0,700000000.0,682000000.0,19000000.0,717000000.0,608000000.0,562000000.0
1_Income_Statement,Net Income to Noncontrolling Interest,6000000.0,6000000.0,6000000.0,4000000.0,5000000.0,5000000.0,4000000.0,4000000.0,3000000.0,3000000.0,4000000.0,3000000.0,2000000.0,4000000.0,3000000.0,3000000.0,3000000.0,-1000000.0,11000000.0,0.0,-1000000.0,-37000000.0,-32000000.0,-3000000.0,-1000000.0,2000000.0,1000000.0,-5000000.0,1000000.0,-2000000.0,1000000.0,6000000.0,1000000.0,-3000000.0,0.0,1000000.0,1000000.0,2000000.0,2000000.0,0.0,2000000.0,-3000000.0,1000000.0,1000000.0,1000000.0,13000000.0,1000000.0,-37000000.0,0.0,0.0,0.0,2000000.0,1000000.0,,,0.0,1000000.0,,,,
1_Income_Statement,EPS Basic,4.35,4.486187845303867,4.35,4.08,3.6,3.612972972972973,3.54,3.51,3.23,2.9565677966101696,3.4,3.01,2.48,2.6084710743801653,2.59,2.34,2.69,2.4078947368421053,2.45,2.09,1.84,1.781437125748503,1.51,1.41,1.68,2.08,2.08,2.01,1.81,0.87,1.83,1.5,1.42,0.21,1.34,1.1,1.0,0.86,1.08,0.89,0.86,0.79,0.86,0.81,0.89,0.7,0.88,0.8,0.73,0.52,0.73,0.7,0.62,0.49,0.62,0.56,0.54,0.15,5.65,4.77,4.31
1_Income_Statement,EPS Diluted,4.35,4.481236203090508,4.34,4.07,3.59,3.605177993527508,3.53,3.5,3.22,2.9503171247357294,3.39,3.0,2.47,2.600411946446962,2.58,2.34,2.68,2.3981854838709675,2.44,2.08,1.83,1.7743538767395626,1.51,1.41,1.68,2.07,2.07,2.0,1.8,0.87,1.82,1.5,1.41,0.21,1.34,1.1,1.0,0.86,1.08,0.89,0.86,0.79,0.86,0.81,0.89,0.69,0.87,0.8,0.73,0.52,0.73,0.7,0.62,0.49,0.62,0.56,0.54,0.15,5.63,4.76,4.29
1_Income_Statement,Shares Outstanding Basic,891000000.0,905000000.0,903000000.0,908000000.0,912000000.0,925000000.0,923000000.0,929000000.0,933000000.0,944000000.0,941000000.0,946000000.0,953000000.0,968000000.0,965000000.0,971000000.0,977000000.0,988000000.0,986000000.0,990000000.0,994000000.0,1002000000.0,1001000000.0,1004000000.0,1005000000.0,1008000000.0,1013000000.0,1020000000.0,1026000000.0,1032000000.0,1037000000.0,1043000000.0,1051000000.0,1057000000.0,1063000000.0,1070000000.0,1078000000.0,1087000000.0,1096000000.0,1098000000.0,1109000000.0,1121000000.0,1130000000.0,1138000000.0,1148000000.0,1153000000.0,1157000000.0,1165000000.0,1185000000.0,1201000000.0,1205000000.0,1214000000.0,1226000000.0,1240000000.0,1247000000.0,1259000000.0,1266000000.0,127000000.0,127000000.0,127000000.0,130000000.0
1_Income_Statement,Shares Outstanding Diluted,893000000.0,906000000.0,905000000.0,909000000.0,914000000.0,927000000.0,925000000.0,930000000.0,935000000.0,946000000.0,943000000.0,949000000.0,956000000.0,971000000.0,968000000.0,974000000.0,981000000.0,992000000.0,990000000.0,994000000.0,998000000.0,1006000000.0,1005000000.0,1008000000.0,1010000000.0,1013000000.0,1019000000.0,1025000000.0,1032000000.0,1038000000.0,1043000000.0,1049000000.0,1057000000.0,1063000000.0,1068000000.0,1075000000.0,1082000000.0,1090000000.0,1099000000.0,1101000000.0,1112000000.0,1124000000.0,1133000000.0,1141000000.0,1152000000.0,1157000000.0,1160000000.0,1169000000.0,1189000000.0,1205000000.0,1209000000.0,1217000000.0,1230000000.0,1246000000.0,1251000000.0,1263000000.0,1271000000.0,127000000.0,127000000.0,128000000.0,131000000.0
2_Balance_Sheet,Cash & Equivalents,7906000000.0,10566000000.0,10313000000.0,9031000000.0,9982000000.0,10808000000.0,12967000000.0,8802000000.0,9187000000.0,10465000000.0,8742000000.0,8521000000.0,8800000000.0,9196000000.0,9776000000.0,8152000000.0,9215000000.0,9902000000.0,8841000000.0,8623000000.0,9615000000.0,12419000000.0,12404000000.0,13302000000.0,12333000000.0,8969000000.0,5101000000.0,5691000000.0,5857000000.0,8337000000.0,6871000000.0,6210000000.0,6890000000.0,7592000000.0,5559000000.0,5177000000.0,6006000000.0,6721000000.0,5205000000.0,5176000000.0,4894000000.0,5747000000.0,5747000000.0,3361000000.0,4207000000.0,5137000000.0,5137000000.0,2878000000.0,4019000000.0,3599000000.0,3413000000.0,2348000000.0,1984000000.0,2052000000.0,3045000000.0,3153000000.0,3684000000.0,3734000000.0,,,
2_Balance_Sheet,Restricted Cash,551000000.0,561000000.0,478000000.0,542000000.0,507000000.0,492000000.0,1904000000.0,1806000000.0,1894000000.0,32000000.0,0.0,598000000.0,596000000.0,589000000.0,586000000.0,584000000.0,585000000.0,586000000.0,586000000.0,586000000.0,586000000.0,586000000.0,586000000.0,587000000.0,587000000.0,584000000.0,1871000000.0,1754000000.0,1728000000.0,1655000000.0,1607000000.0,1558000000.0,1534000000.0,1659000000.0,545000000.0,544000000.0,543000000.0,543000000.0,543000000.0,542000000.0,542000000.0,541000000.0,541000000.0,541000000.0,540000000.0,540000000.0,540000000.0,540000000.0,540000000.0,723000000.0,727000000.0,724000000.0,724000000.0,726000000.0,,,,0.0,,,
